	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	54
dim	[  3 256 256  48   1   1   1   1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	[-1.      0.9375  0.9375  3.      9.      0.      0.      0.    ]
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=1.2e+02;Time=92254.520;phase=1'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	1.0248283e-10
quatern_c	0.9993284
quatern_d	-0.03664371
qoffset_x	120.0
qoffset_y	-106.90674
qoffset_z	-50.363457
srow_x	[-9.3750000e-01  1.9228444e-10  1.5612510e-17  1.2000000e+02]
srow_y	[ 1.9176806e-10  9.3498230e-01  2.1971458e-01 -1.0690674e+02]
srow_z	[-1.4082563e-11 -6.8660811e-02  2.9919431e+00 -5.0363457e+01]
intent_name	b''
magic	b'n+1'
