	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	54
dim	[  3 256 256  48   1   1   1   1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	[-1.      0.9375  0.9375  3.      9.      0.      0.      0.    ]
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=1.2e+02;Time=150659.497;phase=1'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	0.020201178
quatern_c	-0.9936851
quatern_d	-0.10918226
qoffset_x	124.856964
qoffset_y	-83.92154
qoffset_z	-83.18202
srow_x	[-9.36245382e-01 -3.43305655e-02  1.09559029e-01  1.24856964e+02]
srow_y	[-4.0945467e-02  9.1438341e-01 -6.4899886e-01 -8.3921539e+01]
srow_z	[ 2.5966141e-02  2.0403592e-01  2.9269111e+00 -8.3182022e+01]
intent_name	b''
magic	b'n+1'
