	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[ 4 74 74 41  4  1  1  1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	[-1.   3.   3.   3.3  2.5  0.   0.   0. ]
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	2
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=25;Time=155817.193;phase=0'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	0.022716898
quatern_c	-0.9596335
quatern_d	-0.28005743
qoffset_x	116.112404
qoffset_y	-46.804993
qoffset_z	-96.44489
srow_x	[-2.99597168e+00 -1.09857403e-01  1.20924264e-01  1.16112404e+02]
srow_y	[ -0.15174136   2.5263107   -1.7718978  -46.804993  ]
srow_z	[ 3.3586722e-02  1.6142137e+00  2.7813225e+00 -9.6444893e+01]
intent_name	b''
magic	b'n+1'
