	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[ 3 74 74 45  1  1  1  1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	[-1.     3.     3.     3.3    0.476  0.     0.     0.   ]
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=4.9;Time=103248.148;phase=1'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	5.0047455e-17
quatern_c	0.99904823
quatern_d	0.043619387
qoffset_x	111.0
qoffset_y	-96.713326
qoffset_z	-58.995552
srow_x	[-3.0000000e+00  3.0000001e-16 -2.8761384e-17  1.1100000e+02]
srow_y	[ 3.0000001e-16  2.9885840e+00 -2.8761384e-01 -9.6713326e+01]
srow_z	[  0.           0.26146722   3.287441   -58.995552  ]
intent_name	b''
magic	b'n+1'
