	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[ 4 74 74 41  4  1  1  1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	[-1.   3.   3.   3.3  2.5  0.   0.   0. ]
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	2
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=25;Time=150552.198;phase=1'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	0.0028662807
quatern_c	-0.99109465
quatern_d	-0.13136008
qoffset_x	112.06044
qoffset_y	-81.23486
qoffset_z	-82.994484
srow_x	[-2.9971447e+00  3.4538310e-08  1.4394395e-01  1.1206044e+02]
srow_y	[-3.4089103e-02  2.8964179e+00 -8.5884672e-01 -8.1234863e+01]
srow_z	[  0.12633996   0.7815136    3.1830273  -82.994484  ]
intent_name	b''
magic	b'n+1'
