	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[  4  64  64  40 300   1   1   1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	[-1.    3.5   3.5   3.5   2.11  0.    0.    0.  ]
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	5
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=30;Time=151050.270;phase=1'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	5.0315223e-17
quatern_c	0.9935719
quatern_d	0.11320321
qoffset_x	109.649414
qoffset_y	-76.59337
qoffset_z	-72.14767
srow_x	[-3.50000000e+00  3.49999996e-16 -7.87328705e-17  1.09649414e+02]
srow_y	[ 3.5000000e-16  3.4102952e+00 -7.8732872e-01 -7.6593369e+01]
srow_z	[  0.          0.7873287   3.4102952 -72.14767  ]
intent_name	b''
magic	b'n+1'
