	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[ 4 74 74 41  4  1  1  1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	[-1.   3.   3.   3.3  2.5  0.   0.   0. ]
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	2
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=25;Time=153511.190;phase=1'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	0.004502295
quatern_c	-0.9660042
quatern_d	-0.25793672
qoffset_x	108.89214
qoffset_y	-58.81366
qoffset_z	-113.14992
srow_x	[-2.9981725e+00  4.8132648e-08  1.1516835e-01  1.0889214e+02]
srow_y	[-5.2190877e-02  2.6006904e+00 -1.6440074e+00 -5.8813660e+01]
srow_z	[ 9.0762809e-02  1.4954633e+00  2.8590164e+00 -1.1314992e+02]
intent_name	b''
magic	b'n+1'
