	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[ 3 64 64 42  1  1  1  1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	[-1.     3.5    3.5    3.5    0.444  0.     0.     0.   ]
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=4.9;Time=155858.962;phase=1'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	-0.0012660071
quatern_c	-0.99715936
quatern_d	0.07331514
qoffset_x	111.57246
qoffset_y	-102.23417
qoffset_z	-27.977718
srow_x	[-3.4979134e+00  2.7046511e-07  1.2083632e-01  1.1157246e+02]
srow_y	[ 1.7673481e-02  3.4623630e+00  5.1159525e-01 -1.0223417e+02]
srow_z	[  0.11953696  -0.5119007    3.4602966  -27.977718  ]
intent_name	b''
magic	b'n+1'
