	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[  4  64  64  40 300   1   1   1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	[-1.    3.5   3.5   3.5   2.11  0.    0.    0.  ]
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	5
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=30;Time=104633.335;phase=1'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	0.0006212444
quatern_c	-0.99934065
quatern_d	-0.029659739
qoffset_x	111.70837
qoffset_y	-90.66348
qoffset_z	-69.860374
srow_x	[-3.4969301e+00  2.6857319e-07  1.4656478e-01  1.1170837e+02]
srow_y	[-8.6919572e-03  3.4938393e+00 -2.0739025e-01 -9.0663483e+01]
srow_z	[  0.14630681   0.2075723    3.4907749  -69.860374  ]
intent_name	b''
magic	b'n+1'
