	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[ 3 74 74 45  1  1  1  1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	[-1.     3.     3.     3.3    0.476  0.     0.     0.   ]
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=4.9;Time=162006.185;phase=1'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	0.0038687855
quatern_c	-0.9850136
quatern_d	-0.17098677
qoffset_x	110.22265
qoffset_y	-64.83765
qoffset_z	-92.201256
srow_x	[-2.9969299e+00 -1.1206328e-08  1.4925644e-01  1.1022265e+02]
srow_y	[-4.5729667e-02  2.8244913e+00 -1.1110299e+00 -6.4837646e+01]
srow_z	[  0.12774971   1.0110631    3.103757   -92.201256  ]
intent_name	b''
magic	b'n+1'
