	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[  4  64  64  40 300   1   1   1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	[-1.    3.5   3.5   3.5   2.11  0.    0.    0.  ]
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	5
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=30;Time=105715.193;phase=1'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	0.0018493616
quatern_c	-0.99804866
quatern_d	-0.050694406
qoffset_x	113.08352
qoffset_y	-83.27069
qoffset_z	-79.33055
srow_x	[-3.4906967e+00 -1.6336330e-07  2.5502148e-01  1.1308352e+02]
srow_y	[-2.5840376e-02  3.4819865e+00 -3.5369706e-01 -8.3270691e+01]
srow_z	[  0.25370896   0.3546397    3.4727314  -79.33055   ]
intent_name	b''
magic	b'n+1'
