	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[ 4 74 74 41  4  1  1  1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	[-1.   3.   3.   3.3  2.5  0.   0.   0. ]
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	2
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=25;Time=153811.755;phase=1'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	5.1808135e-17
quatern_c	0.95881975
quatern_d	0.28401536
qoffset_x	108.649414
qoffset_y	-58.213264
qoffset_z	-98.51225
srow_x	[-3.00000000e+00  3.00000012e-16 -1.79730889e-16  1.08649414e+02]
srow_y	[ 3.0000001e-16  2.5160117e+00 -1.7973088e+00 -5.8213264e+01]
srow_z	[  0.          1.6339171   2.7676127 -98.51225  ]
intent_name	b''
magic	b'n+1'
