	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	54
dim	[  3 256 256  48   1   1   1   1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	[-1.      0.9375  0.9375  3.      0.65    0.      0.      0.    ]
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=20;Time=95811.833;phase=1'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	-1.0142527e-10
quatern_c	-0.9890159
quatern_d	-0.14780942
qoffset_x	119.67605
qoffset_y	-88.91437
qoffset_z	-117.654205
srow_x	[-9.3750000e-01  1.9228444e-10 -1.3530840e-16  1.1967605e+02]
srow_y	[ 1.8388256e-10  8.9653569e-01 -8.7711495e-01 -8.8914368e+01]
srow_z	[ 5.62184986e-11  2.74098486e-01  2.86891341e+00 -1.17654205e+02]
intent_name	b''
magic	b'n+1'
