	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[  4 128 128  70  31   1   1   1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	[-1.   2.   2.   2.   9.4  0.   0.   0. ]
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	5
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=96;Time=83209.197;phase=1'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	0.0
quatern_c	0.99976206
quatern_d	0.021814885
qoffset_x	126.25476
qoffset_y	-115.15352
qoffset_z	-65.29974
srow_x	[ -2.        0.       -0.      126.25476]
srow_y	[-0.0000000e+00  1.9980965e+00 -8.7238774e-02 -1.1515352e+02]
srow_z	[  0.           0.08723877   1.9980965  -65.29974   ]
intent_name	b''
magic	b'n+1'
