	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[  4  64  64  40 300   1   1   1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	"[-1.         3.5        3.5        3.5000002  2.11       0.
  0.         0.       ]"
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	5
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=30;Time=155129.760;phase=1'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	0.0
quatern_c	0.9997224
quatern_d	0.023559768
qoffset_x	112.0
qoffset_y	-84.55321
qoffset_z	-71.076935
srow_x	[ -3.5   0.   -0.  112. ]
srow_y	[ -0.          3.4961145  -0.1648726 -84.55321  ]
srow_z	[  0.           0.16487259   3.4961147  -71.076935  ]
intent_name	b''
magic	b'n+1'
