	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[ 4 74 74 41  4  1  1  1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	[-1.   3.   3.   3.3  2.5  0.   0.   0. ]
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	2
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=25;Time=90113.750;phase=1'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	-5.3569143e-17
quatern_c	-0.95105654
quatern_d	-0.309017
qoffset_x	117.93994
qoffset_y	-52.348045
qoffset_z	-109.87595
srow_x	[-3.0000000e+00  3.0000001e-16  7.3006465e-17  1.1793994e+02]
srow_y	[ 3.0000001e-16  2.4270511e+00 -1.9396913e+00 -5.2348045e+01]
srow_z	[ 3.0000001e-16  1.7633557e+00  2.6697562e+00 -1.0987595e+02]
intent_name	b''
magic	b'n+1'
