	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[  3 128 128  70   1   1   1   1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	[-1.   2.   2.   2.   9.4  0.   0.   0. ]
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=96;Time=161210.378;phase=0'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	1.00164994e-16
quatern_c	0.9983418
quatern_d	0.05756403
qoffset_x	125.50593
qoffset_y	-104.89696
qoffset_z	-81.79106
srow_x	[-2.0000000e+00  4.0000001e-16 -4.5974735e-17  1.2550593e+02]
srow_y	[ 4.0000001e-16  1.9867455e+00 -2.2987367e-01 -1.0489696e+02]
srow_z	[  0.          0.2298743   1.98674   -81.79106  ]
intent_name	b''
magic	b'n+1'
